GEOID,Community Name,Median Rent,Cost Category,Rent Change
53033001201,Northgate/Maple Leaf,1755,Low,Decline
53033000404,Broadview/Bitter Lake,1881,Medium,Decline
53033004901,Fremont,1511,Low,Stable
53033003601,Green Lake,1814,High,Stable
53033002800,Greenwood/Phinney Ridge,1408,Low,Stable
53033003100,Sunset Hill/Loyal Heights,1461,Low,Stable
53033006400,Miller Park,2080,Medium,Stable
53033004301,Ravenna/Bryant,2661,High,Rise
53033002500,Ravenna/Bryant,2049,Medium,Stable
53033002200,Wedgwood/View Ridge,2367,High,Stable
53033004000,Laurelhurst/Sand Point,1237,Low,Stable
53033005804,Interbay,2045,High,Stable
53033006800,Queen Anne,2490,High,Decline
53033008102,Downtown Commercial Core,3367,High,Decline
53033008101,Downtown Commercial Core,2832,High,Stable
53033007902,Central Area/Squire Park,2104,High,Stable
53033007302,Cascade/Eastlake,3293,High,Stable
53033007101,Queen Anne,2170,High,Stable
53033009300,Duwamish/SODO,2209,High,Decline
53033010502,West Seattle Junction/Genesee Hill,1956,Medium,Stable
53033010001,North Beacon Hill/Jefferson Park,1725,Medium,Stable
53033009801,West Seattle Junction/Genesee Hill,2130,High,Stable
53033008900,Madrona/Leschi,2122,High,Decline
53033026300,Rainier Beach,0,,
53033012000,Arbor Heights,0,,
53033011101,Columbia City,1705,Medium,Decline
53033011001,South Beacon Hill/NewHolly,2317,High,Rise
53033010800,Riverview,1333,Low,Stable
53033000800,Cedar Park/Meadowbrook,0,,
53033003400,Greenwood/Phinney Ridge,993,Low,Stable
53033005306,University District,1733,Medium,Stable
53033004302,Ravenna/Bryant,1987,High,Stable
53033002400,Wedgwood/View Ridge,0,,
53033004102,Laurelhurst/Sand Point,2085,High,Stable
53033005600,Magnolia,0,,
53033006703,Queen Anne,2050,Medium,Stable
53033006100,Montlake/Portage Bay,1851,High,Stable
53033005700,Magnolia,1560,Low,Stable
53033005901,Queen Anne,1642,Medium,Stable
53033008401,Capitol Hill,2133,High,Stable
53033008300,First Hill,2062,High,Decline
53033007501,Capitol Hill,1808,Medium,Stable
53033009702,West Seattle Junction/Genesee Hill,1719,Medium,Stable
53033008800,Central Area/Squire Park,1838,Medium,Rise
53033008500,First Hill,2271,High,Decline
53033026500,Highland Park,0,,
53033011601,Fauntleroy/Seaview,1112,Low,Stable
53033011300,Highland Park,1561,Low,Decline
53033011500,Roxhill/Westwood,1508,Low,Stable
53033010601,Fauntleroy/Seaview,1629,Medium,Decline
53033001202,Northgate/Maple Leaf,2019,Medium,Decline
53033000102,Cedar Park/Meadowbrook,1687,Low,Stable
53033004701,Ballard,2105,High,Decline
53033004500,Wallingford,2058,Medium,Stable
53033002900,Greenwood/Phinney Ridge,1963,Medium,Stable
53033004201,Ravenna/Bryant,1685,Low,Stable
53033007403,Capitol Hill,1714,Medium,Decline
53033007002,Queen Anne,1894,Medium,Stable
53033005803,Interbay,1505,Low,Stable
53033005902,Queen Anne,1642,Low,Stable
53033004902,Fremont,1894,High,Stable
53033005801,Interbay,2103,Medium,Stable
53033007406,Capitol Hill,1588,Medium,Decline
53033007405,Capitol Hill,1603,Medium,Stable
53033009701,Alki/Admiral,1870,Low,Stable
53033009600,Alki/Admiral,1666,Low,Stable
53033008700,Central Area/Squire Park,1657,Medium,Stable
53033011402,Roxhill/Westwood,1487,Low,Stable
53033011200,South Park,892,Low,Stable
53033010900,Georgetown,1318,Low,Stable
53033011002,South Beacon Hill/NewHolly,0,,
53033011102,Seward Park,1415,Low,Stable
53033010702,High Point,2086,High,Stable
53033001100,Olympic Hills/Victory Heights,1460,Low,Decline
53033000700,Olympic Hills/Victory Heights,1605,Low,Stable
53033000202,Olympic Hills/Victory Heights,1730,Low,Stable
53033000101,Cedar Park/Meadowbrook,1560,Low,Stable
53033003301,Whittier Heights,1729,Medium,Stable
53033003602,Green Lake,1994,High,Stable
53033001900,Northgate/Maple Leaf,2222,High,Stable
53033001702,Greenwood/Phinney Ridge,1887,Medium,Decline
53033006500,North Capitol Hill,1904,Medium,Stable
53033006200,Montlake/Portage Bay,0,,
53033005305,University District,1574,Medium,Stable
53033002600,Ravenna/Bryant,1988,High,Stable
53033002000,Northgate/Maple Leaf,1736,Low,Stable
53033006300,Madison Park,2060,Medium,Stable
53033006600,Cascade/Eastlake,1953,Medium,Stable
53033006900,Queen Anne,1690,Medium,Stable
53033006000,Queen Anne,2045,Medium,Stable
53033005201,Wallingford,1563,Medium,Stable
53033005000,Wallingford,2006,High,Stable
53033008600,First Hill,1718,Medium,Decline
53033008002,Belltown,2439,High,Stable
53033007901,Central Area/Squire Park,1729,Medium,Stable
53033007202,Cascade/Eastlake,2938,High,Stable
53033007301,Cascade/Eastlake,2451,High,Stable
53033010302,Columbia City,2081,High,Stable
53033009100,Pioneer Square/International District,1831,Medium,Decline
53033009200,Pioneer Square/International District,1803,Medium,Stable
53033011700,South Beacon Hill/NewHolly,0,,
53033000500,Broadview/Bitter Lake,0,,
53033000601,Haller Lake,1572,Low,Stable
53033003500,Greenwood/Phinney Ridge,1344,Low,Stable
53033001500,North Beach/Blue Ridge,1256,Low,Stable
53033001400,North Beach/Blue Ridge,1749,Low,Stable
53033001300,Licton Springs,1330,Low,Stable
53033003800,Ravenna/Bryant,1957,High,Decline
53033007001,Queen Anne,1577,Low,Stable
53033004800,Fremont,1851,High,Stable
53033005100,Wallingford,1319,Low,Stable
53033008200,First Hill,2472,High,Stable
53033010101,Columbia City,1524,Medium,Stable
53033012100,Arbor Heights,0,,
53033011901,Rainier Beach,0,,
53033000602,Haller Lake,1970,Medium,Stable
53033000201,Olympic Hills/Victory Heights,1777,Low,Stable
53033003302,Whittier Heights,1522,Low,Stable
53033005304,University District,0,,
53033004202,Ravenna/Bryant,2214,High,Stable
53033007404,Capitol Hill,1636,Medium,Decline
53033006701,Queen Anne,2493,High,Stable
53033007800,Madrona/Leschi,1791,Low,Stable
53033007503,Capitol Hill,2090,High,Decline
53033007201,Cascade/Eastlake,2195,High,Stable
53033007203,Cascade/Eastlake,2688,High,Stable
53033010301,Columbia City,1626,Low,Stable
53033009900,North Delridge,1676,Medium,Stable
53033009500,Mt. Baker/North Rainier,1417,Medium,Stable
53033009400,North Beacon Hill/Jefferson Park,1656,Medium,Decline
53033011801,Rainier Beach,1217,Low,Stable
53033011602,Fauntleroy/Seaview,1522,Low,Stable
53033011401,Roxhill/Westwood,2187,Medium,Stable
53033010701,High Point,1939,Medium,Stable
53033010602,Fauntleroy/Seaview,1552,Low,Stable
53033000900,Cedar Park/Meadowbrook,0,,
53033000402,Broadview/Bitter Lake,1360,Low,Stable
53033000300,Haller Lake,1130,Low,Stable
53033003202,Sunset Hill/Loyal Heights,1720,Low,Stable
53033003000,Whittier Heights,1722,Medium,Decline
53033001701,Greenwood/Phinney Ridge,1893,Medium,Stable
53033001600,North Beach/Blue Ridge,1943,High,Stable
53033002100,Wedgwood/View Ridge,1327,Medium,Decline
53033003900,Wedgwood/View Ridge,1275,Low,Stable
53033007102,Queen Anne,2046,High,Stable
53033006702,Queen Anne,2276,High,Decline
53033005401,Fremont,2334,High,Stable
53033008004,Belltown,2353,High,Stable
53033008003,Belltown,2218,High,Stable
53033008402,Capitol Hill,1946,High,Stable
53033007303,Cascade/Eastlake,3329,High,Stable
53033010002,North Beacon Hill/Jefferson Park,1791,Medium,Stable
53033011902,Rainier Beach,0,,
53033011802,Rainier Beach,1557,Low,Stable
53033004703,Ballard,1781,Medium,Stable
53033001000,Cedar Park/Meadowbrook,1703,Low,Stable
53033000403,Broadview/Bitter Lake,1615,Low,Stable
53033003201,Sunset Hill/Loyal Heights,2181,High,Stable
53033004600,Green Lake,1418,Low,Stable
53033004702,Ballard,1978,High,Decline
53033002700,Green Lake,1719,Low,Stable
53033001800,Licton Springs,1475,Low,Stable
53033005202,Wallingford,1803,Medium,Stable
53033005303,University District,0,,
53033004402,University District,1541,Medium,Stable
53033004401,University District,1533,Medium,Stable
53033005307,University District,1354,Medium,Stable
53033004101,Laurelhurst/Sand Point,1200,Low,Stable
53033005402,Fremont,1930,High,Stable
53033007700,Central Area/Squire Park,1537,Medium,Stable
53033007502,Capitol Hill,1960,High,Stable
53033007600,Miller Park,1830,Medium,Decline
53033010200,Seward Park,1363,Low,Stable
53033010401,Beacon Hill,0,,
53033010402,Beacon Hill,1459,Low,Stable
53033010501,West Seattle Junction/Genesee Hill,2103,High,Decline
53033010102,Columbia City,0,,
53033009802,West Seattle Junction/Genesee Hill,1884,High,Stable
53033009000,Judkins Park,1837,Medium,Stable
53033026400,South Park,0,,
