neighborhood,occupied_units,owner_households,renter_households,rent_burden_30_plus,pct_rent_burdened
First Hill,10409,1453,8956,3848,0.43
Capitol Hill,19740,2455,17285,7303,0.423
North Capitol Hill,2759,1147,1612,568,0.352
Miller Park,3794,2119,1675,586,0.35
Madison Park,2641,1458,1183,390,0.33
Montlake/Portage Bay,4877,3048,1829,644,0.352
University District,6737,1011,5726,3606,0.63
Ravenna/Bryant,10754,5938,4816,2269,0.471
Laurelhurst/Sand Point,4452,3303,1149,525,0.457
Green Lake,8809,4032,4777,1901,0.398
Ballard,6707,2045,4662,1808,0.388
Fremont,10271,3750,6521,2433,0.373
Wallingford,8690,2908,5782,2980,0.515
Queen Anne,25423,9241,16182,5578,0.345
Belltown,7794,2275,5519,1721,0.312
Eastlake,3565,1135,2430,790,0.325
Roosevelt,2413,492,1921,986,0.513
Wallingford,3736,1168,2568,1320,0.514
Green Lake,2424,544,1880,732,0.389
Northgate,5083,978,4105,2226,0.542
Fremont,4433,1226,3207,1311,0.409
Ballard,11912,3848,8064,3070,0.381
South Lake Union,8217,188,8029,2168,0.27
University District,10053,702,9351,5815,0.622
Uptown,8666,1772,6894,2506,0.364
Downtown,27067,4979,22088,8513,0.385
